"UniqueID","id","company","title","sentiment score"
"1684_Ashtead","1144","Ashtead","Ashtead to buy back shares, full-year profit beats estimates","0.588"
"828_Shell","1145","Shell","EU regulators clear Shell's takeover of BG Group","0.276"
"252_Prudential","1146","Prudential","UK's FTSE has worst day so far in 2015 as BG and Prudential fall","-0.651"
"1103_GlaxoSmithKline","1147","GlaxoSmithKline","GlaxoSmithKline acquires HIV assets","0.39"
"971_Barclays","1148","Barclays","Barclays faces another heavy forex fine","-0.834"
"573_Diageo","1149","Diageo","Diageo Shares Surge on Report of Possible Takeover by Lemann","0.481"
"545_Borealis Infrastructure","1150","Borealis Infrastructure","Borealis Infrastructure putting together new Severn Trent bid","0.154"
"759_Burberry","1151","Burberry Group plc","FTSE 100 falls as China devaluation hits Burberry, mining stocks","-0.479"
"1634_Deutsche Boerse","1152","Deutsche Boerse","London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit","-0.443"
"55_Tesco","1153","Tesco PLC","Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale","-0.335"
"624_AstraZeneca","1154","AstraZeneca","UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln","0.35"
"317_Shire","1155","Shire","Homebuilders, Shire Gains Spur FTSE 100 to Rally Beyond Record","0.837"
"1295_Royal Mail","1156","Royal Mail","CompaniesRoyal Mail adds a penny to stamp prices","-0.05"
"606_Royal Mail","1157","Royal Mail","Royal Mail shares fall as Ofcom publishes discussion document","-0.349"
"91_ITV","1158","ITV","ITV backs Carl Frampton to revive the glory days","0.251"
"1712_AdeS","1159","AdeS","The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever","0.277"
"1565_Barclays","1160","Barclays","Ex-Barclays Trader in Libor Case Says Boss Hit Him With Bat","-0.496"
"853_Morrisons","1161","Morrisons","Morrisons warns of long road to recovery after profit plunge","-0.601"
"441_Hargreaves Lansdown","1162","Hargreaves Lansdown","Hargreaves Lansdown posts record inflows in 4 mths to end-April","0.416"
"275_MOVANTIK","1163","MOVANTIK","AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US","0.454"
