cashtag,sentiment score,text,source,spans,id
"$COST","-0.258","U.S. consumers keep cautious stance https://t.co/A92GDndgX8 #premarket $TGT $WMT $COST $HD","twitter","consumers keep cautious stance","709723193125175300"
"$CTRP","0.419","Close $CTRP @46.16 from 43.55 entry +6% #timestamp #stocks #trades https://t.co/FCOsB5UgcC sharing all entries/exits realtime","twitter","Close $CTRP @46.16 from 43.55 entry +6%;$;+6%","719529094652698600"
"$INTC","0.520","@OphirGottlieb $INTC Every Reason to Be Bullish Into The Stock Drop \u279a http://stks.co/f2gSF","stocktwits","Every Reason to Be Bullish","39048670"
"$PANW","0.478","$PANW need anoth $1 to all time high. $FTNT new high..","stocktwits","$PANW need anoth $1 to all time high","37048093"
"$JRCC","0.430","$JRCC http://stks.co/1gdx Long setup: One name (of many) from coal sector that is displaying this same pattern.","stocktwits","Long setup","6207860"
"$SBUX","0.443","Also added $SBUX today, will be a solid long term investment #coffee #starbucks #passive #Income","twitter","will be a solid long term investmen;$;#passive;$;Also added $SBUX today;$; #Income","719911771625140200"
"$TSLA","-0.227","$TSLA recall","twitter","recall","719571433307955200"
"$MAR","0.557","Marriott wins new Starwood deal by raising cash portion of bid, now worth $79.53/sh versus Anbang's $78/sh https://t.co/4l1xOSRM4E $HOT $MAR","twitter","Marriott wins new Starwood deal by raising cash portion of bid","711874651043926000"
"$ABBV","0.284","Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN","twitter","Time To Embrace Dividend Growth","719559500852662300"
"$MS","0.126","Bullshit! All #AppleStores are EMPTY in #China $MS must be preparing to liquidate $AAPL https://t.co/mvqXVS1JE8  https://t.co/OzHNY1cJ8P","twitter","Bullshit! All #AppleStores are EMPTY in #China;$;$MS must be preparing to liquidate $AAPL","709737853639663600"
"$BJRI","0.455","5-star analyst Robert Derrington from Wunderlich reiterated a BUY on $BJRI. Robert has a 89% success rate http://stks.co/d1LV7","stocktwits","5-star analyst Robert Derrington from Wunderlich reiterated a BUY","30084443"
"$AAPL","0.276","Excited for @aapl 's big event shortly! Don't see big +value from smaller phone since I'm still on a 5s. Hoping for other products. $AAPL","twitter","Excited;$;big +value;$;Hoping","711948847971307500"
"$MCD","0.666","Oil To Break Out: Adding Chevron https://t.co/IrZkAVxjiE $AXP $CLGRF $CSCO $ERX $IBM $MCD $SSRI $VLO $WMT $XOM $CVX","twitter","Oil To Break Out;$;Adding Chevron","710211237058093000"
"$GWPH","0.421","Unusual Call Activity https://t.co/WXu7JvqwBj $XLI $NXPI $WY $AMD $RF $MJN $WSM $AKS $GWPH $DG $MGM $SWKS $AAPL $ASHR $HTZ $ORCL $DDD $LVS","twitter","Unusual Call Activity","709777793798656000"
